Symbol,Margin,Leverage
JINDRILL,20,5
JINDWORLD,20,5
JIOFIN,20,5
JISLJALEQS,20,5
JKCEMENT,20,5
JKIL,20,5
JKLAKSHMI,20,5
JKPAPER,20,5
JKTYRE,20,5
JLHL,20,5
JMFINANCIL,20,5
JNKINDIA,20,5
JPOLYINVST,20,5
JPPOWER,20,5
JSFB,20,5
JSL,20,5
JSLL,20,5
JSWCEMENT,20,5
JSWENERGY,20,5
JSWHL,20,5
JSWINFRA,20,5
JSWSTEEL,20,5
JTEKTINDIA,20,5
JTLIND,20,5
JUBLCPL,20,5
JUBLFOOD,20,5
JUBLINGREA,20,5
JUBLPHARMA,20,5
JUNIORBEES,20,5
JUNIPER,20,5
JUSTDIAL,20,5
JWL,20,5
JYOTHYLAB,20,5
JYOTICNC,20,5
JYOTIRES,20,5
JYOTISTRUC,20,5
KAJARIACER,20,5
KALAMANDIR,20,5
KALPATARU,20,5
KALYANKJIL,20,5
KAMAHOLD,20,5
KAMATHOTEL,20,5
KAMDHENU,20,5
KANSAINER,20,5
KARURVYSYA,20,5
KAYNES,20,5
KCP,20,5
KDDL,20,5
KEC,20,5
KECL,20,5
KEI,20,5
KELLTONTEC,20,5
KERNEX,20,5
KFINTECH,20,5
KHAICHEM,20,5
KICL,20,5
KIMS,20,5
KINGFA,20,5
KIOCL,20,5
KIRIINDUS,20,5
KIRLFER,20,5
KIRLOSBROS,20,5
KIRLOSENG,20,5
KIRLOSIND,20,5
KIRLPNU,20,5
KITEX,20,5
KKCL,20,5
KLBRENG-B,20,5
KMEW,20,5
KNRCON,20,5
KOLTEPATIL,20,5
KOPRAN,20,5
KOTAKBANK,20,5
KOVAI,20,5
KPEL,20,5
KPIGREEN,20,5
KPIL,20,5
KPITTECH,20,5
KPRMILL,20,5
KRBL,20,5
KRISHANA,20,5
KRISHIVAL,20,5
KRN,20,5
KROSS,20,5
KRSNAA,20,5
KSB,20,5
KSCL,20,5
KSL,20,5
KSOLVES,20,5
KTKBANK,20,5
LALPATHLAB,20,5
LANDMARK,20,5
LAOPALA,20,5
LATENTVIEW,20,5
LAURUSLABS,20,5
LAXMIDENTL,20,5
LAXMIINDIA,20,5
LEMERITE,20,5
LEMONTREE,20,5
LENSKART,20,5
LGBBROSLTD,20,5
LGEINDIA,20,5
LGHL,20,5
LICHSGFIN,20,5
LICI,20,5
LICMFGOLD,20,5
LICNETFGSC,20,5
LIKHITHA,20,5
LINDEINDIA,20,5
LIQUID,20,5
LIQUIDADD,20,5
LIQUIDBEES,20,5
LIQUIDCASE,20,5
LIQUIDETF,20,5
LIQUIDIETF,20,5
LLOYDSENGG,20,5
LLOYDSENT,20,5
LLOYDSME,20,5
LMW,20,5
LODHA,20,5
LOKESHMACH,20,5
LOTUSDEV,20,5
LOWVOLIETF,20,5
LT,20,5
LTF,20,5
LTFOODS,20,5
LTGILTBEES,20,5
LTIM,20,5
LTTS,20,5
LUMAXIND,20,5
LUMAXTECH,20,5
LUPIN,20,5
LUXIND,20,5
LXCHEM,20,5
M&amp;M,20,5
M&amp;MFIN,20,5
MAANALU,20,5
MACPOWER,20,5
MAFANG,50,2
MAHABANK,20,5
MAHLIFE,20,5
MAHLOG,20,5
MAHSCOOTER,20,5
MAHSEAMLES,20,5
MAITHANALL,20,5
MAMATA,20,5
MANAKCOAT,20,5
MANALIPETC,20,5
MANAPPURAM,20,5
MANCREDIT,20,5
MANGLMCEM,20,5
MANINDS,20,5
MANINFRA,20,5
MANKIND,20,5
MANORAMA,20,5
MANYAVAR,20,5
MAPMYINDIA,20,5
MARATHON,20,5
MARICO,20,5
MARINE,20,5
MARKOLINES,20,5
MARKSANS,20,5
MARSONS,20,5
MARUTI,20,5
MASFIN,20,5
MASTEK,20,5
MASTERTR,20,5
MATRIMONY,20,5
MAXESTATES,20,5
MAXHEALTH,20,5
MAYURUNIQ,20,5
MAZDOCK,20,5
MBAPL,20,5
MBEL,20,5
MCX,20,5
MEDANTA,20,5
MEDIASSIST,20,5
MEDICAMEQ,20,5
MEDPLUS,20,5
MEESHO,20,5
MEIL,20,5
METAL,20,5
METALIETF,20,5
METROBRAND,20,5
METROPOLIS,20,5
MFSL,20,5
MGL,20,5
MHRIL,20,5
MID150BEES,20,5
MID150CASE,20,5
MIDCAP,20,5
MIDCAPETF,20,5
MIDCAPIETF,20,5
MIDHANI,20,5
MIDSMALL,20,5
MIDWESTLTD,20,5
MIIL,20,5
MINDACORP,20,5
MIRCELECTR,20,5
MIRZAINT,20,5
MMFL,20,5
MMTC,20,5
MOBAVENUE,20,5
MOBIKWIK,20,5
MOCAPITAL,20,5
MODEFENCE,20,5
MOGOLD,20,5
MOIL,20,5
MOL,20,5
MOLDTKPAC,20,5
MOM100,20,5
MOM30IETF,20,5
MOMENTUM50,20,5
MON100,20,5
MONARCH,20,5
MONIFTY500,20,5
MONQ50,20,5
MONTECARLO,20,5
MOREALTY,20,5
MOREPENLAB,20,5
MOSCHIP,20,5
MOSILVER,20,5
MOSMALL250,20,5
MOTHERSON,20,5
MOTILALOFS,20,5
MOTISONS,20,5
MPHASIS,20,5
MPSLTD,20,5
MRF,20,5
MRPL,20,5
MSPL,20,5
MSTCLTD,20,5
MSUMI,20,5
MTARTECH,20,5
MTNL,20,5
MUFIN,20,5
MUFTI,20,5
MUKANDLTD,20,5
MUKKA,20,5
MUNJALAU,20,5
MUTHOOTFIN,20,5
MUTHOOTMF,20,5
MWL,20,5
NAM-INDIA,20,5
NATCOPHARM,20,5
NATIONALUM,20,5
NAUKRI,20,5
NAVA,20,5
NAVINFLUOR,20,5
NAVKARCORP,20,5
NAVNETEDUL,20,5
NAZARA,20,5
NBCC,20,5
NCC,20,5
NCLIND,20,5
NDRAUTO,20,5
NDTV,20,5
NELCO,20,5
NEOGEN,20,5
NEPHROPLUS,20,5
NESCO,20,5
NESTLEIND,20,5
NETWEB,20,5
